Type,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,ColorName_x,ColorName_y,ColorName,BreedName_x,BreedName_y,StateName_x
2,5,3.0,2.0,2,2,2,2,1,3,0,0,12.0,Cream,Gray,White,Domestic Medium Hair,Domestic Short Hair,Selangor
1,3,3.0,2.0,1,3,3,3,1,2,0,0,5.0,Golden,Cream,White,Mixed Breed,Mixed Breed,Selangor
1,36,1.0,2.0,2,1,1,1,1,1,200,0,2.0,Black,Cream,Gray,Terrier,Poodle,Selangor
2,0,1.0,2.0,1,2,2,2,1,1,0,0,10.0,Black,Gray,White,Domestic Short Hair,Tabby,Kuala Lumpur
1,1,3.0,3.0,1,1,1,2,1,7,0,5,30.0,Black,Brown,Golden,Mixed Breed,Mixed Breed,Selangor
2,2,2.0,,1,2,1,2,1,1,0,0,1.0,Black,Golden,,Bengal,Bengal,Selangor
2,4,2.0,2.0,3,3,3,2,1,1,0,0,1.0,Cream,Gray,White,Norwegian Forest Cat,Silver,Kuala Lumpur
1,2,2.0,3.0,1,3,3,3,1,3,0,0,1.0,Black,Brown,White,Mixed Breed,Mixed Breed,Selangor
2,1,1.0,2.0,2,2,1,2,1,1,0,0,8.0,Black,Brown,White,Domestic Medium Hair,Tabby,Selangor
2,1,3.0,2.0,1,2,1,2,1,3,0,0,26.0,Black,Brown,Gray,,,Kuala Lumpur
2,5,2.0,2.0,1,2,2,2,1,2,0,0,3.0,Black,Gray,White,,,Selangor
1,1,3.0,2.0,2,2,2,1,1,5,0,0,12.0,Brown,Cream,White,Mixed Breed,Mixed Breed,Selangor
2,1,2.0,2.0,2,2,2,2,1,1,0,0,8.0,Black,Yellow,White,Domestic Medium Hair,Domestic Medium Hair,Kuala Lumpur
1,72,1.0,,3,1,1,1,1,1,200,0,9.0,Black,Gray,,Shih Tzu,Silky Terrier,Selangor
2,12,2.0,1.0,2,1,1,2,1,1,0,0,1.0,Brown,Yellow,Cream,Tortoiseshell,Tortoiseshell,Selangor
1,6,2.0,2.0,2,1,1,2,1,2,1,0,7.0,Black,Brown,White,,,Selangor
1,5,2.0,2.0,1,1,2,2,1,1,100,0,1.0,Black,Brown,Cream,Belgian Shepherd Malinois,Mixed Breed,Selangor
2,3,3.0,1.0,2,2,2,3,1,2,150,0,1.0,Black,Brown,White,Domestic Medium Hair,Siamese,Perak
1,6,1.0,,2,1,1,2,1,1,0,0,4.0,Black,Brown,,Belgian Shepherd Malinois,Mixed Breed,Perak
2,12,1.0,3.0,3,1,1,1,1,1,0,0,2.0,Black,Gray,White,Domestic Long Hair,Domestic Medium Hair,Selangor
1,2,3.0,2.0,2,3,3,3,1,4,0,0,4.0,Black,Brown,White,Mixed Breed,Mixed Breed,Melaka
1,1,2.0,2.0,1,2,1,2,1,1,100,0,6.0,Black,Brown,White,Spitz,Mixed Breed,Selangor
2,6,3.0,2.0,1,1,1,3,1,3,150,0,4.0,Black,Brown,Cream,Siamese,Domestic Short Hair,Kuala Lumpur
1,4,1.0,2.0,1,3,1,2,1,1,0,1,11.0,Black,Cream,White,Dachshund,Dalmatian,Perak
