Type,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,BreedName_x,BreedName_y,StateName_x,ColorName_Filled,ColorName_x_Black,ColorName_x_Brown,ColorName_x_Cream,ColorName_x_Golden,ColorName_x_Yellow,ColorName_y_Brown,ColorName_y_Cream,ColorName_y_Golden,ColorName_y_Gray,ColorName_y_Yellow,ColorName_Cream,ColorName_Golden,ColorName_Gray,ColorName_White,ColorName_Yellow,ColorName_nan,AdoptinSpeed_pred,key,AdoptionSpeed
2,0.2941176470588235,3.0,2.0,2,2,2,2,1,0.1052631578947368,0.0,0,0.4137931034482758,7.0,5.0,0,White,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2-0.2941176470588235-3.0-2.0-2-2-2-2-1-0,4
1,0.1764705882352941,3.0,2.0,1,3,3,3,1,0.0526315789473684,0.0,0,0.1724137931034483,0.0,0.0,0,White,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1-0.1764705882352941-3.0-2.0-1-3-3-3-1-0,2
2,0.0,1.0,2.0,1,2,2,2,1,0.0,0.0,0,0.3448275862068966,5.0,4.0,1,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,2-0.0-1.0-2.0-1-2-2-2-1-0,3
1,0.0588235294117647,3.0,3.0,1,1,1,2,1,0.3157894736842105,0.0,5,1.0344827586206895,0.0,0.0,0,Golden,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,1-0.0588235294117647-3.0-3.0-1-1-1-2-1-5,3
2,0.1176470588235294,2.0,1.0,1,2,1,2,1,0.0,0.0,0,0.0344827586206896,8.0,8.0,0,Golden,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2-0.1176470588235294-2.0-1.0-1-2-1-2-1-0,1
2,0.2352941176470588,2.0,2.0,3,3,3,2,1,0.0,0.0,0,0.0344827586206896,,56.0,1,White,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,2-0.2352941176470588-2.0-2.0-3-3-3-2-1-0,1
1,0.1176470588235294,2.0,3.0,1,3,3,3,1,0.1052631578947368,0.0,0,0.0344827586206896,0.0,0.0,0,White,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,1-0.1176470588235294-2.0-3.0-1-3-3-3-1-0,2
2,0.0588235294117647,1.0,2.0,2,2,1,2,1,0.0,0.0,0,0.2758620689655172,7.0,4.0,0,White,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2-0.0588235294117647-1.0-2.0-2-2-1-2-1-0,1
2,0.0588235294117647,3.0,2.0,1,2,1,2,1,0.1052631578947368,0.0,0,0.896551724137931,3.0,3.0,1,Gray,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2-0.0588235294117647-3.0-2.0-1-2-1-2-1-0,1
2,0.2941176470588235,2.0,2.0,1,2,2,2,1,0.0526315789473684,0.0,0,0.1034482758620689,3.0,3.0,0,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,2-0.2941176470588235-2.0-2.0-1-2-2-2-1-0,1
