,importance
BreedName_x,0.14350528023054324
Age,0.12304755439512331
PhotoAmt,0.11793653261627528
BreedName_y,0.09877498393116146
StateName_x,0.06775430759947804
Quantity,0.06260374729774507
Gender,0.04196003445934644
Sterilized,0.03871410178762524
Dewormed,0.03718674266944188
FurLength,0.03233699273352501
Fee,0.02887189992764432
ColorName_White,0.026225261028380603
MaturitySize,0.02471131692985971
ColorName_x_Black,0.017501980562430606
ColorName_y_Brown,0.017252679007203276
ColorName_y_Yellow,0.014306783019245758
ColorName_nan,0.01426527638055412
Vaccinated,0.014201777626334854
Type,0.013200947538649014
ColorName_Cream,0.012517258110749769
ColorName_y_Gray,0.010873813328758525
ColorName_x_Brown,0.009914564324040226
ColorName_y_Cream,0.009477188946810574
ColorName_y_Golden,0.0062765345492391735
ColorName_x_Golden,0.004847295880835754
VideoAmt,0.004532127795707174
ColorName_Gray,0.004390306205538686
ColorName_x_Yellow,0.001753417189763148
ColorName_x_Cream,0.0006175744567692833
Health,0.00035195135380922647
ColorName_Golden,8.976811741121279e-05
ColorName_Yellow,0.0
